X2024-3,U3047,X2024-4,U3056,U3020,U3071,X2024-2,U3117,U3073,U3017,X2024-1,U3039,U3013
ENSG00000007402,8.46884232768725,7.37033115236359,8.59874235931293,5.68284451378311,6.07955627300595,6.23807716364311,8.91050342152008,6.37683276124766,6.20606654986635,6.51313144162106,8.80214810771321,6.26681689354766,6.54054600635291
ENSG00000007516,12.384740090964,9.0389975487827,12.2391204643116,6.14377874981657,6.55918148601259,6.15292093562373,12.5040311447782,9.32098597113697,8.20366716767931,8.62992021374695,13.0222200497911,10.1907135283951,6.42830258000472
ENSG00000007866,6.88860463980935,7.52078656110109,7.09488754296018,7.78717227733088,7.81961573705679,9.59186637414751,6.92542932028812,8.18052380366475,8.22807137382918,9.0098804660158,6.35141489134481,7.64743795305709,8.86236027581527
ENSG00000007968,5.9020419511246,8.43453215404582,5.68284451378311,9.90353135410271,8.80306027123549,7.80061186264162,5.88527765899482,8.04509031659243,9.18301261621937,8.6932426510649,5.68284451378311,7.56601010129341,8.68764720401786
ENSG00000008056,13.5700973841361,7.49823239500035,13.7395829178347,6.87347766759383,6.88996177960638,6.49007581353207,13.6982175096709,6.98827217308397,6.63936562911913,6.53410313598941,13.8991841126216,6.74298856932626,7.01158586257247
ENSG00000008086,11.4603878886233,8.37357107992716,11.7711897721282,6.09546456973708,7.93300768957635,9.55629775300234,11.2567302753157,8.88777707770043,9.13079886403271,8.05454498920711,11.4548212907345,9.41464105539965,8.23615930443257
ENSG00000008118,10.5421431305042,6.49248594366133,10.965515896992,7.24806377727846,6.51544832205313,6.15292093562373,10.7558836360359,5.68284451378311,6.02644138952607,6.25838204169679,10.7714432684383,5.86864765685139,6.40354666508965
ENSG00000008277,11.0921847536437,10.0933118668217,11.443183706729,10.5842507500961,6.96056751430285,7.99585587869606,11.2068776145726,8.96055845211537,7.18040500868084,10.814903985023,10.8294054277027,8.93615474234833,9.14581435271785
ENSG00000008282,9.01749137837727,10.0522378025045,9.09873348561393,10.354975800583,11.4455775772342,11.1820074284176,8.96770106928499,10.9408947380064,10.406949783238,10.2481548075425,8.7458579786894,10.9979535592369,10.8660205822615
ENSG00000008283,10.2913079721631,7.70084747157794,10.2502381758048,7.15358216022961,8.84403842137186,8.28619631668218,10.872822878129,8.30363703489352,7.8762675161041,7.71304532909177,10.9000510730104,9.4610401088702,8.81462035689613
ENSG00000008311,8.22628768505092,10.518799678763,8.17241649220533,10.6312374559251,9.74972093425977,9.91265136659909,8.22680305982969,10.7052309513303,10.4798391105717,11.2149603657477,7.47361557806832,10.8878503886155,10.7887727754896
ENSG00000008394,10.4096207921572,6.00811253624244,9.99635533587539,5.88968124369097,7.52494883545896,8.34752745820278,9.74728775158003,6.32622086681616,10.4275699920334,5.87582114587221,7.85634424011102,9.24125632669751,7.25529305161378
ENSG00000008735,13.1905163692225,8.22127268511226,13.2225530784663,6.85723802509987,8.78697574048803,7.46729966570623,13.2883009587888,8.09807824809314,6.76445651372974,8.02834691872338,13.6668130322616,8.04091827555637,7.39578100492057
ENSG00000008853,11.7243319850117,9.69596936681437,11.9592862456195,9.42856656212501,10.2132994906386,9.12409784331522,11.6044170107445,9.32491072550889,9.47944296829326,9.32993813021979,12.4167357861087,8.87115678795507,9.6347525375876
ENSG00000009413,9.22528706702901,10.6966704569276,9.12105302686794,10.1709862191343,10.5845374040935,10.0481102319428,8.91663457627512,10.3418096933495,9.63873901450702,12.0374685328909,8.58901214039218,9.9159267366642,10.2117731972964
ENSG00000009694,8.44390961401397,10.3929741963479,8.39140895542433,5.97510639371777,8.34092876153699,8.43935976446807,8.06693558342372,10.5064518716456,10.1729024215447,8.82974351561143,8.80673865448717,10.0935834127017,10.3033663565429
ENSG00000009709,7.06780479142929,5.68284451378311,7.78328593850987,5.68284451378311,5.68284451378311,5.68284451378311,7.47640788149336,7.52758466471331,5.68284451378311,5.68284451378311,7.53425829999004,5.68284451378311,5.68284451378311
ENSG00000009950,8.44390961401397,5.87090291931701,8.83835521061538,6.09546456973708,6.02667611630074,5.89381224656971,8.72349161224827,6.35203927091675,5.68284451378311,5.68284451378311,9.20707611060206,6.13641175416405,6.11640551871915
ENSG00000010282,8.36095483017652,6.65988214313963,9.22767092787248,6.09546456973708,5.68284451378311,5.68284451378311,9.78601182881543,6.0065256804833,5.68284451378311,6.93834213999758,9.29413094460408,6.20586950374719,6.07092308942362
