X2024.1	X2024.2	X2024.3	X2024.4	U3047	U3013	U3117	U3056	U3039	U3017	U3071	U3073	U3020	e12A
ENSG00000005238.20_FAM214B	9.37309772942028	9.17328720167796	9.36530636048299	9.20697798798176	8.58283438834613	9.20690120341312	10.2306481911692	8.32579919109554	9.17198768665712	8.9185281315415	8.41101603883106	8.80148909513177	9.50280374127715	8.70063338808465
ENSG00000005243.10_COPZ2	6.79861545641394	6.96841896813968	7.08267327324632	6.82472734349066	6.69285912984481	7.79259711401085	6.75028874313213	5.88968124369097	6.99115353955281	5.68284451378311	8.1371981679101	7.57263692587691	7.78628803792882	7.28259006178822
ENSG00000005249.13_PRKAR2B	10.6340471156553	11.2573277173633	11.1132412285213	11.2869362627904	9.53798826154606	9.15538509096052	9.28113170138014	8.18721888492995	9.69980464281869	7.98532979076092	8.59404325467128	8.53455547833151	7.74512753311151	9.33213515403728
ENSG00000005302.19_MSL3	9.60252025971092	9.54997839438862	9.47110573193291	9.31861214334322	9.49998893980205	9.67175171579213	8.86084549602576	8.73293911174315	9.05313941155947	8.77549733272267	9.32697813748516	9.27287655475002	9.21367344696526	8.7597859380009
ENSG00000005339.15_CREBBP	10.2080827684382	10.5191970247498	10.4665309728097	10.4535215799159	10.5917877426171	10.7618154452342	10.7538134481583	10.9527217622264	11.0673255871759	10.9473302324028	10.9129556840409	10.1507362270233	11.2252939829868	10.3477208508679
ENSG00000005379.17_TSPOAP1	11.9112922786397	11.4987537562073	12.3245184701883	11.9553327762608	7.36186654527823	6.32307560207656	6.90244582263041	5.97510639371777	6.3216979170915	8.20183878050311	6.10366258974753	5.9636104210119	6.20642178735447	6.54869493260398
ENSG00000005436.14_GCFC2	8.34999698773587	8.07258158170898	7.86289192393856	8.05490783602604	8.54549941251248	7.91520733620589	8.39775667744983	8.66966028209745	8.26014469451262	8.86477876739574	8.91414798568014	8.31247545381773	9.13244644094177	8.33699946434641
ENSG00000005448.17_WDR54	9.43326506413655	8.79197985521	8.76584649204392	8.86135186490032	8.83074380853208	8.83570619233744	8.75352760016121	8.3547758507986	8.66519366756163	8.28746958377074	7.7701777102442	8.87013622379897	8.77070482948938	9.20336854577503
ENSG00000005469.12_CROT	8.14431208528474	8.21671298678763	8.51261949939892	8.23950260775025	8.54549941251248	8.69757969883171	9.1784928953889	8.81080449515242	9.61250369195393	8.71906996598414	8.93069367739419	8.29876533866774	9.00254376163347	8.3194348865658
ENSG00000005471.19_ABCB4	6.3089216619528	5.96889433609179	6.11998698440772	6.12406826123797	5.68284451378311	7.02393447470394	6.54818648201503	5.88968124369097	7.55190808798144	5.87582114587221	6.37646902666591	6.02644138952607	5.68284451378311	8.32237799195426
ENSG00000005483.21_KMT2E	11.5430106049931	11.0117604412399	10.9098620297756	11.1053384726129	10.1343686970678	10.7956238695532	10.9249149068968	10.8621032131324	10.8117630664211	11.7714048947686	11.1888277162372	10.2197874583718	10.169816707065	10.5837591294945
ENSG00000005486.17_RHBDD2	13.0906865692528	12.5115602033422	12.4205152699285	12.4309966012724	10.7628170282722	10.2643536951316	11.3344877358985	11.056733792419	11.646536703662	11.0723096560328	10.9503689693873	10.7210316192534	10.5359307554951	9.99396777152787
ENSG00000005513.10_SOX8	10.3407218085242	9.99723302145716	9.89459943413683	9.872912934659	11.1491613550443	10.210633298093	11.0236505696191	11.007892237814	12.6937594098469	12.5698328057163	10.7936118566543	5.9636104210119	7.95693168289828	6.76876265273529
ENSG00000005700.15_IBTK	9.28107976519268	9.46523854583023	9.45891427050785	9.67058758863801	9.84924956911516	10.8514834351865	9.94601038925462	10.1749594438814	10.1864861958885	9.92165101972722	10.5776871420588	10.5817665254643	10.8876050444608	10.0779936753375
ENSG00000005801.18_ZNF195	8.11437294863164	8.32379788917584	8.26695505414423	8.27474701206974	8.59616611830512	8.36780719152596	8.44617160509987	9.0795707552131	8.3711807611731	8.95415810836701	9.11546309128463	8.2849164177948	8.49279306567018	8.35721119860383
ENSG00000005810.19_MYCBP2	12.5044052597194	12.1140535038604	12.1209719010858	12.377182052345	9.80326386409875	9.05408195463826	9.51025210341675	9.73771802759733	10.2435496435154	9.26623306856963	10.7601041385523	9.39364905164372	10.2965073133949	10.1074450103566
ENSG00000005812.11_FBXL3	9.76323185367484	10.2586566675687	10.2439505321711	10.3674349675729	9.21195277947237	8.96965206412577	9.85968388578794	9.63549838562585	10.0122890420534	8.80889590616028	9.91759834667604	9.13837660736651	10.164903058498	8.77896154907892
ENSG00000005882.12_PDK2	11.1254161189196	11.0279595398398	11.2213427115559	10.973360474415	9.21836591567093	9.17903339483528	9.26077812055457	8.36430038943439	9.33826088748419	9.05595498829514	8.2966108814334	8.56518307905284	8.27702220050263	8.66665765892544
ENSG00000005884.18_ITGA3	9.51345241537731	9.27423391582669	9.13290961297827	9.44750253326189	11.3740061378116	13.571584223397	12.9410092362926	11.6674548873264	10.0662263862781	7.20391997445908	12.9087450687815	13.9898925351017	13.9887412326399	12.723599809759
ENSG00000005889.16_ZFX	8.15903628966609	8.34239794938141	8.65796862989586	8.87271083213177	10.0699850091999	10.4573291086958	9.30517788653242	9.88584698695051	9.78768731194858	9.54003361410323	9.52199300824107	9.55097501096813	9.73485329081637	9.30028747643346
ENSG00000005893.16_LAMP2	10.9774802972518	11.7566630072244	10.790967617732	11.8504371741096	13.328225998941	12.4191334576937	12.1751339631241	11.38993619272	12.8227155975716	11.1689612848652	12.2472057405208	12.9112710455613	12.5405317256239	12.3266252058097
ENSG00000005961.19_ITGA2B	6.84375008074582	7.28254093043188	6.49310417783002	7.10966359588481	6.21215690928692	6.8357757041847	6.32622086681616	6.4211605188935	6.34734098166196	6.92512449835571	6.43560909945085	6.53705686876084	6.24213995121002	7.11946724939175
ENSG00000006007.12_GDE1	11.1172292844542	10.8883387810796	10.8235183558253	10.7077991314599	10.339391831249	10.0102725194488	10.4742932962886	10.1776021703058	10.5770559751139	9.61339755682562	10.135576086579	10.2114840368665	10.5491794708795	9.90950367959238
ENSG00000006015.18_REX1BD	11.1434442763705	10.0171649242804	9.97023117694547	9.97389551921373	9.15957810043338	8.44904442929545	8.8306132892717	9.14356339106552	8.20104683499905	8.47880597996089	7.96304480373511	8.20366716767931	7.8775371771976	8.56194105134229
ENSG00000006016.12_CRLF1	9.73250041745084	9.89319680955492	9.56506286323393	9.21292106192207	6.17831407884293	6.75870576003375	6.13964887148781	5.68284451378311	6.54218079852125	6.01659436100509	6.43560909945085	6.20606654986635	5.88166853947583	6.23532990133906
ENSG00000006025.12_OSBPL7	8.57826114479056	8.50759028373061	8.33397094767634	8.45388229330643	8.54549941251248	8.80242776764509	8.8389230663588	8.14328979703186	8.69265582796464	8.95686198429418	7.96967222187312	8.46713633343034	7.94502378245941	9.34212096612766
ENSG00000006042.12_TMEM98	8.55101443193814	8.12235528709701	8.61415496376584	8.58491749516481	9.94217073776138	9.31321169473477	8.44250709176075	8.82450940667944	8.01144278857742	10.1461733547922	9.58149655767869	5.9636104210119	5.88166853947583	10.174963833875
ENSG00000006047.13_YBX2	7.25607688957315	6.96841896813968	6.77532195896329	7.27317487320227	6.92088304296553	6.2937283565785	6.46764965309058	5.68284451378311	6.59712585086141	6.73464508280144	5.89381224656971	5.9636104210119	6.30719534132817	5.90954319936063
ENSG00000006062.18_MAP3K14	8.18082637587636	8.26154069728392	8.3064454334003	8.23353889024154	8.58283438834613	9.36146911937981	10.7838974930265	7.92561365514675	10.2106252789792	8.38035103001704	8.5856534017888	10.2754685915141	9.88600731261711	8.12670984836634
ENSG00000006071.16_ABCC8	9.67645949890573	9.42304749813819	9.27629314166744	9.36998222784956	7.90352190921251	6.82085904203488	5.94731326713325	6.14377874981657	5.86864765685139	8.19717906772937	6.19733769597893	6.76445651372974	5.96380252521584	5.68284451378311
